"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1445","TC_01 Verify that user can navigate to registration page @master @sanity @regression","chromium","2026-04-18","passed","2026-04-18","Account Registration Tests","accountRegistration.spec.ts","",""
"","1836","TC_02 Verify that user can login with valid credentials @master @sanity @regression","chromium","2026-04-18","passed","2026-04-18","Account Login Tests","accountLogin.spec.ts","",""
"","1611","Login Test with JSON Data: Invalid Login @datadriven","chromium","2026-04-18","passed","2026-04-18","","LoginDataDriven.spec.ts","",""
"","3409","Login Test with JSON Data: Valid Login @datadriven","chromium","2026-04-18","passed","2026-04-18","","LoginDataDriven.spec.ts","",""
"","1923","TC_01 Verify that user can navigate to login page @master @sanity @regression","chromium","2026-04-18","passed","2026-04-18","Account Login Tests","accountLogin.spec.ts","",""
"","4298","TC_01 Verify that user can navigate to login page","chromium","2026-04-18","passed","2026-04-18","Account Login Tests","accountLogin.spec.ts","",""
"","3343","TC_04 Verify that user can logout successfully @master @regression","chromium","2026-04-18","failed","2026-04-18","","Logout.spec.ts","",""
"","1696","TC_03 Verify that user cannot login with invalid credentials @master @sanity @regression","chromium","2026-04-18","passed","2026-04-18","Account Login Tests","accountLogin.spec.ts","",""
"","1930","TC_02 Verify that user can login with valid credentials","chromium","2026-04-18","passed","2026-04-18","Account Login Tests","accountLogin.spec.ts","",""
"","1573","TC_03 Verify that user cannot login with invalid credentials","chromium","2026-04-18","passed","2026-04-18","Account Login Tests","accountLogin.spec.ts","",""
